preference_id,tenant_id,preferred_city,preferred_property_type,min_bedrooms,max_budget,preferred_furnishing,parking_required,amenity_preference,max_commute_distance_km
TP00001,T00001,Mumbai,VILLA,2,20791,FULLY_FURNISHED,False,POWER_BACKUP,26.2
TP00002,T00002,Delhi,HOUSE,3,95276,SEMI_FURNISHED,False,AIR_CONDITIONING,20.1
TP00003,T00003,Kolkata,HOUSE,1,117670,UNFURNISHED,False,GARDEN,13.2
TP00004,T00004,Bangalore,PG,1,99104,FULLY_FURNISHED,False,POWER_BACKUP,25.1
TP00005,T00005,Delhi,PG,1,23241,UNFURNISHED,True,WIFI,21.7
TP00006,T00006,Delhi,VILLA,2,22610,SEMI_FURNISHED,False,WIFI,10.5
TP00007,T00007,Mumbai,VILLA,3,69049,UNFURNISHED,True,CLUBHOUSE,18.8
TP00008,T00008,Kolkata,PG,1,19897,SEMI_FURNISHED,False,POWER_BACKUP,4.9
TP00009,T00009,Delhi,VILLA,1,65768,FULLY_FURNISHED,False,SECURITY,14.9
TP00010,T00010,Chennai,VILLA,2,65798,UNFURNISHED,True,POWER_BACKUP,22.8
TP00011,T00011,Kolkata,VILLA,3,105643,FULLY_FURNISHED,False,GARDEN,5.0
TP00012,T00012,Hyderabad,VILLA,2,35346,UNFURNISHED,True,SECURITY,13.6
TP00013,T00013,Mumbai,HOUSE,3,108608,UNFURNISHED,False,POWER_BACKUP,24.4
TP00014,T00014,Delhi,HOUSE,2,83135,SEMI_FURNISHED,True,GYM,4.4
TP00015,T00015,Chennai,APARTMENT,3,102447,FULLY_FURNISHED,True,POWER_BACKUP,18.3
TP00016,T00016,Bangalore,VILLA,3,79707,UNFURNISHED,False,SECURITY,20.5
TP00017,T00017,Kolkata,APARTMENT,2,49564,UNFURNISHED,False,GARDEN,25.9
TP00018,T00018,Bangalore,HOUSE,1,32596,FULLY_FURNISHED,True,SWIMMING_POOL,19.7
TP00019,T00019,Bangalore,APARTMENT,3,63025,UNFURNISHED,False,GYM,11.1
TP00020,T00020,Bangalore,VILLA,1,37575,FULLY_FURNISHED,False,WIFI,7.6
TP00021,T00021,Mumbai,PG,2,87513,UNFURNISHED,False,PARKING,3.6
TP00022,T00022,Mumbai,HOUSE,1,94380,SEMI_FURNISHED,True,GYM,21.2
TP00023,T00023,Chennai,HOUSE,1,114979,SEMI_FURNISHED,True,GYM,19.0
TP00024,T00024,Chennai,PG,1,95970,SEMI_FURNISHED,False,PARKING,4.2
TP00025,T00025,Chennai,PG,2,36797,UNFURNISHED,True,SECURITY,25.3
TP00026,T00026,Hyderabad,APARTMENT,3,39186,UNFURNISHED,False,SWIMMING_POOL,24.6
TP00027,T00027,Bangalore,HOUSE,3,70713,FULLY_FURNISHED,True,SECURITY,19.6
TP00028,T00028,Mumbai,APARTMENT,3,102951,FULLY_FURNISHED,False,GARDEN,15.1
TP00029,T00029,Hyderabad,VILLA,3,45929,UNFURNISHED,True,PARKING,22.6
TP00030,T00030,Delhi,HOUSE,2,69927,UNFURNISHED,True,SWIMMING_POOL,9.5
TP00031,T00031,Hyderabad,PG,3,69648,FULLY_FURNISHED,False,AIR_CONDITIONING,22.1
TP00032,T00032,Delhi,HOUSE,2,18675,FULLY_FURNISHED,False,LIFT,29.5
TP00033,T00033,Hyderabad,APARTMENT,1,80055,FULLY_FURNISHED,False,WIFI,20.6
TP00034,T00034,Bangalore,VILLA,1,32608,FULLY_FURNISHED,False,SECURITY,7.5
TP00035,T00035,Hyderabad,APARTMENT,1,90392,FULLY_FURNISHED,True,WIFI,11.3
TP00036,T00036,Chennai,PG,3,68621,UNFURNISHED,False,GYM,15.9
TP00037,T00037,Mumbai,HOUSE,1,59523,UNFURNISHED,False,SWIMMING_POOL,18.0
TP00038,T00038,Kolkata,PG,3,112035,UNFURNISHED,True,GYM,8.8
TP00039,T00039,Chennai,VILLA,1,58133,SEMI_FURNISHED,False,LIFT,22.6
TP00040,T00040,Bangalore,VILLA,1,64409,SEMI_FURNISHED,False,CLUBHOUSE,21.1
TP00041,T00041,Kolkata,APARTMENT,1,62766,SEMI_FURNISHED,True,PARKING,15.1
TP00042,T00042,Hyderabad,PG,1,90319,SEMI_FURNISHED,True,WIFI,10.4
TP00043,T00043,Bangalore,APARTMENT,1,101425,FULLY_FURNISHED,True,CLUBHOUSE,19.0
TP00044,T00044,Bangalore,PG,2,114723,FULLY_FURNISHED,False,SWIMMING_POOL,7.9
TP00045,T00045,Chennai,HOUSE,3,78865,UNFURNISHED,False,LIFT,24.3
TP00046,T00046,Mumbai,HOUSE,1,59240,FULLY_FURNISHED,False,LIFT,16.5
TP00047,T00047,Bangalore,PG,1,13856,FULLY_FURNISHED,True,PARKING,9.5
TP00048,T00048,Kolkata,APARTMENT,3,50575,SEMI_FURNISHED,False,LIFT,16.6
TP00049,T00049,Kolkata,HOUSE,3,116437,SEMI_FURNISHED,True,SECURITY,19.2
TP00050,T00050,Hyderabad,VILLA,2,103638,UNFURNISHED,True,AIR_CONDITIONING,11.3
