property_id,source_record_id,data_source,property_name,property_type,area_locality,city,area_type,size_sqft,bedrooms_bhk,bathrooms,floor,total_floors,furnishing_status,tenant_preferred,point_of_contact,monthly_rent,parking_available,property_age_years,posted_on,rent_per_sqft,estimated_annual_rent,property_age_bucket,amenity_parking,amenity_lift,amenity_gym,amenity_security,amenity_power_backup,amenity_air_conditioning,amenity_wifi,amenity_garden,amenity_count,property_type_data_source,parking_data_source,property_age_data_source
P00001,S00860,real_source,Property_00001,PG,Goregaon West,Mumbai,Carpet Area,450,1,2,5,7,Semi-Furnished,Bachelors,Contact Agent,25000,False,5,2022-06-20,55.56,300000,0-5,True,False,True,False,False,False,False,False,2,synthetic,synthetic,synthetic
P00002,S03772,real_source,Property_00002,APARTMENT,T Nagar,Chennai,Carpet Area,3500,3,3,0,1,Semi-Furnished,Bachelors/Family,Contact Agent,85000,True,1,2022-05-17,24.29,1020000,0-5,True,False,False,False,False,True,False,False,2,synthetic,synthetic,synthetic
P00003,S03092,real_source,Property_00003,APARTMENT,Vadapalani,Chennai,Carpet Area,800,2,2,13,17,Semi-Furnished,Family,Contact Agent,20000,False,2,2022-07-06,25.0,240000,0-5,True,True,False,True,False,False,False,False,3,synthetic,synthetic,synthetic
P00004,S00466,real_source,Property_00004,APARTMENT,Bansdroni,Kolkata,Super Area,1200,3,2,3,3,Unfurnished,Bachelors/Family,Contact Owner,20000,True,21,2022-06-13,16.67,240000,21+,False,False,True,True,True,False,False,False,3,synthetic,synthetic,synthetic
P00005,S04426,real_source,Property_00005,HOUSE,"Ayodhya Nagar, Quthbullapur",Hyderabad,Carpet Area,1500,3,3,1,2,Semi-Furnished,Family,Contact Owner,25000,True,23,2022-06-29,16.67,300000,21+,False,False,True,False,True,True,True,True,5,synthetic,synthetic,synthetic
P00006,S03444,real_source,Property_00006,APARTMENT,Alwarpet,Chennai,Carpet Area,2100,3,3,2,4,Unfurnished,Bachelors,Contact Agent,90000,True,24,2022-06-17,42.86,1080000,21+,False,False,True,False,True,True,False,True,4,synthetic,synthetic,synthetic
P00007,S03171,real_source,Property_00007,PG,Poonamalle,Chennai,Super Area,800,2,1,1,3,Unfurnished,Bachelors/Family,Contact Owner,8000,False,6,2022-05-12,10.0,96000,6-10,True,True,False,False,True,False,False,True,4,synthetic,synthetic,synthetic
P00008,S02919,real_source,Property_00008,HOUSE,Pandav Nagar,Delhi,Super Area,200,3,2,0,1,Semi-Furnished,Bachelors/Family,Contact Owner,13000,True,19,2022-06-04,65.0,156000,11-20,True,True,False,True,True,True,True,False,6,synthetic,synthetic,synthetic
P00009,S00130,real_source,Property_00009,HOUSE,"Rabindra Pally, Keshtopur",Kolkata,Super Area,450,1,1,1,2,Unfurnished,Bachelors/Family,Contact Owner,4500,True,26,2022-05-06,10.0,54000,21+,False,False,False,False,False,False,True,True,2,synthetic,synthetic,synthetic
P00010,S01685,real_source,Property_00010,APARTMENT,Kodi Halli,Bangalore,Carpet Area,900,2,1,3,5,Semi-Furnished,Bachelors/Family,Contact Agent,16000,True,23,2022-05-20,17.78,192000,21+,True,False,False,False,True,False,True,True,4,synthetic,synthetic,synthetic
P00011,S00769,real_source,Property_00011,APARTMENT,"Bindra Complex , Andheri East",Mumbai,Carpet Area,700,2,2,4,7,Semi-Furnished,Bachelors/Family,Contact Agent,45000,True,15,2022-06-01,64.29,540000,11-20,True,False,False,False,False,False,False,True,2,synthetic,synthetic,synthetic
